Year,AT,BE,BG,CY,CZ,DE,DK,ES,FR,GB,HR,IT,LU,NL,PL,PT,RO,SE,SI,SK,CH
2014,0.0412,0.0982,0.0836,0.1303,0.0949,0.0301,0.119,0.0839,0.0584,0.0462,0.1364,0.0424,0.0329,0.2131,0.0656,0.1164,0.0797,0.088,0.1026,0.1221,
2013,0.0405,0.0979,0.073,0.1472,0.0999,0.0266,0.116,0.0719,0.0568,0.0525,0.1384,0.0406,0.0357,0.2105,0.0586,0.1197,0.0821,0.0876,0.1045,0.1215,
2012,0.0395,0.1061,0.0738,0.0996,0.0999,0.0307,0.113,0.0654,0.0545,0.0527,n.a.,0.041,0.0345,0.2026,0.0568,0.1191,0.0852,0.0853,0.1115,0.1221,
2011,0.0423,0.1294,0.0766,0.1027,0.1014,0.0317,0.1192,0.0596,0.06,0.0519,n.a.,0.0407,0.0346,0.2067,0.0563,0.1206,0.0878,0.0863,0.1142,0.1268,
2010,0.0383,0.1439,0.0789,0.1124,0.1045,0.0298,0.1077,0.0528,0.061,0.0523,n.a.,0.041,0.0343,0.2049,0.0559,0.1207,0.0871,0.086,0.116,0.1239,
2009,0.0414,0.1622,0.0846,0.1089,0.1032,0.0206,0.1042,0.0507,0.0605,0.0467,n.a.,0.0298,0.031,0.2034,0.0574,0.115,0.0857,0.0899,0.1256,0.1273,
2008,0.0454,0.1881,0.0834,0.1019,0.1014,0.0191,0.1229,0.0497,0.0681,0.0431,n.a.,0.0307,0.0309,0.2167,0.0562,0.1114,0.0922,0.0953,0.1268,0.1197,
2007,0.0527,0.2079,0.0833,0.1089,0.11,0.0183,0.112,0.0459,0.0679,0.0462,n.a.,0.0328,0.0316,0.1928,0.064,0.1098,0.1041,0.0934,0.1282,0.1082,
2006,0.0534,0.2041,0.0707,0.1056,0.1104,0.0178,0.1071,0.0442,0.0726,0.0404,n.a.,0.022,0.0333,0.1822,0.0599,0.1134,0.1165,0.0856,0.13,0.1131,
2005,0.056,0.2112,0.0698,0.1029,0.1155,0.0174,0.1115,0.0487,0.0727,0.0399,n.a.,0.023,0.0373,0.1796,0.065,0.1154,0.1115,0.0845,0.1369,0.1076,
